run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
1-zipfian-static-1-1000,43,static,zipfian,1000,10000,1,1000,1.1,14265042,70101.44099120072,692375,1674078,0,438750,1323,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-optimistic-1-1000,43,optimistic,zipfian,1000,10000,1,1000,1.1,3962250,252381.85374471577,0,2636409,68267,202413,0,876,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-token-transfer-sequential-1-1000,43,sequential,token-transfer,1000,10000,1,1000,1.1,2764209,361767.1456825443,0,1380356,0,303033,0,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-static-1-1000,43,static,token-transfer,1000,10000,1,1000,1.1,4345209,230138.5272837279,819334,1328636,0,279207,63,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-optimistic-1-1000,43,optimistic,token-transfer,1000,10000,1,1000,1.1,2828417,353554.6561910779,0,1360230,78329,230686,0,169,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-private-state-sequential-1-1000,43,sequential,private-state,1000,10000,1,1000,1.1,2662250,375622.124143112,0,1374300,0,225036,0,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-static-1-1000,43,static,private-state,1000,10000,1,1000,1.1,40459625,24715.997738486207,485500,2123038,0,450146,3003,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-optimistic-1-1000,43,optimistic,private-state,1000,10000,1,1000,1.1,3892666,256893.34764400544,0,2422883,72701,254705,0,999,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
2-no-conflict-sequential-1-1000,44,sequential,no-conflict,1000,10000,1,1000,1.1,2617625,382025.691227735,0,1276953,0,268716,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-static-1-1000,44,static,no-conflict,1000,10000,1,1000,1.1,3474000,287852.6194588371,801834,1203662,0,242664,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-optimistic-1-1000,44,optimistic,no-conflict,1000,10000,1,1000,1.1,2692125,371453.7772205971,0,1196208,77211,234337,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-hotspot-sequential-1-1000,44,sequential,hotspot,1000,10000,1,1000,1.1,2176458,459462.1168890004,0,1210358,0,159714,0,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-static-1-1000,44,static,hotspot,1000,10000,1,1000,1.1,36191708,27630.638487688946,441500,1946687,0,499140,5997,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-optimistic-1-1000,44,optimistic,hotspot,1000,10000,1,1000,1.1,3570125,280102.2373166206,0,2456491,78051,167390,0,999,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-zipfian-sequential-1-1000,44,sequential,zipfian,1000,10000,1,1000,1.1,2409084,415095.5300852938,0,1208427,0,190388,0,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-static-1-1000,44,static,zipfian,1000,10000,1,1000,1.1,13211625,75690.91614392628,719333,1535703,0,316140,1338,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-optimistic-1-1000,44,optimistic,zipfian,1000,10000,1,1000,1.1,3909250,255803.54287906885,0,2407511,88308,215642,0,870,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-token-transfer-sequential-1-1000,44,sequential,token-transfer,1000,10000,1,1000,1.1,3100083,322572.00855589996,0,1777018,0,288104,0,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-static-1-1000,44,static,token-transfer,1000,10000,1,1000,1.1,5322208,187891.94259224742,829583,1632617,0,617666,42,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-optimistic-1-1000,44,optimistic,token-transfer,1000,10000,1,1000,1.1,3033917,329606.9075060392,0,1482255,79973,251591,0,162,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-private-state-sequential-1-1000,44,sequential,private-state,1000,10000,1,1000,1.1,2493583,401029.36216680973,0,1237631,0,215255,0,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-static-1-1000,44,static,private-state,1000,10000,1,1000,1.1,35333167,28302.020025547103,461791,1883351,0,376087,2997,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-optimistic-1-1000,44,optimistic,private-state,1000,10000,1,1000,1.1,3868916,258470.33122456007,0,2383030,63150,219503,0,999,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
0-no-conflict-sequential-2-1000,42,sequential,no-conflict,1000,10000,2,1000,1.1,2436708,410389.755358459,0,1188042,0,227678,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-static-2-1000,42,static,no-conflict,1000,10000,2,1000,1.1,3179709,314494.18799015885,765667,1333079,0,247100,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-optimistic-2-1000,42,optimistic,no-conflict,1000,10000,2,1000,1.1,2253625,443729.54684120027,0,1299905,86850,241099,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-hotspot-sequential-2-1000,42,sequential,hotspot,1000,10000,2,1000,1.1,3813458,262229.1893604178,0,2177921,0,553920,0,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-static-2-1000,42,static,hotspot,1000,10000,2,1000,1.1,40871917,24466.677205280095,572541,2320112,0,479741,5994,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
