run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
1-zipfian-static-1-1000,43,static,zipfian,1000,10000,1,1000,1.1,13209529,75702.92627390425,957223,1968140,0,461456,1323,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-optimistic-1-1000,43,optimistic,zipfian,1000,10000,1,1000,1.1,4405701,226978.63518200623,0,2755708,128629,272811,0,876,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-token-transfer-sequential-1-1000,43,sequential,token-transfer,1000,10000,1,1000,1.1,3248074,307874.75901103235,0,1594348,0,374532,0,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-static-1-1000,43,static,token-transfer,1000,10000,1,1000,1.1,5633343,177514.4882887479,1027471,1679759,0,474850,63,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-optimistic-1-1000,43,optimistic,token-transfer,1000,10000,1,1000,1.1,3985012,250940.27320369426,0,1786457,115569,411863,0,169,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-private-state-sequential-1-1000,43,sequential,private-state,1000,10000,1,1000,1.1,3132447,319239.2401212215,0,1539597,0,304810,0,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-static-1-1000,43,static,private-state,1000,10000,1,1000,1.1,37255445,26841.71400985816,731692,2096945,0,609677,3003,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-optimistic-1-1000,43,optimistic,private-state,1000,10000,1,1000,1.1,4946390,202167.64145164454,0,2823630,157289,339041,0,999,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
2-no-conflict-sequential-1-1000,44,sequential,no-conflict,1000,10000,1,1000,1.1,3262344,306528.0669359209,0,1572833,0,364339,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-static-1-1000,44,static,no-conflict,1000,10000,1,1000,1.1,4772031,209554.38051429254,997117,1526543,0,429765,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-optimistic-1-1000,44,optimistic,no-conflict,1000,10000,1,1000,1.1,3796099,263428.32470912905,0,1545304,109848,406898,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-hotspot-sequential-1-1000,44,sequential,hotspot,1000,10000,1,1000,1.1,2718749,367816.2272427503,0,1486518,0,263707,0,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-static-1-1000,44,static,hotspot,1000,10000,1,1000,1.1,31559205,31686.476259462175,616968,2156037,0,603418,5997,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-optimistic-1-1000,44,optimistic,hotspot,1000,10000,1,1000,1.1,4670364,214116.07317973505,0,2897682,143321,255416,0,999,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-zipfian-sequential-1-1000,44,sequential,zipfian,1000,10000,1,1000,1.1,2890113,346007.23224316834,0,1520524,0,289794,0,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-static-1-1000,44,static,zipfian,1000,10000,1,1000,1.1,13414014,74548.90087337019,915903,1969548,0,424796,1338,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-optimistic-1-1000,44,optimistic,zipfian,1000,10000,1,1000,1.1,4385694,228014.08397393892,0,2754703,129982,270734,0,870,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-token-transfer-sequential-1-1000,44,sequential,token-transfer,1000,10000,1,1000,1.1,3268918,305911.61968577985,0,1559748,0,364869,0,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
